Front,Back,Tags
"What is PID 1 and why change it?","PID 1 is the first process (init). Responsible for launching all others. Change via systemd: replacing PID 1 = replacing init system (init → systemd, init → runit).",phase0 linux
"Difference between TCP and UDP?","TCP - connection-oriented, guaranteed delivery, handshake (SYN, SYN-ACK, ACK), ordered. UDP - connectionless, no guarantees, faster. TCP for HTTP/SSH, UDP for DNS/VoIP/video.",phase0 network
"What is DNS and how does resolution work?","DNS - Domain Name System, translates names (google.com) to IP (142.250.190.46). Resolution: check /etc/hosts → recursive query to resolver (8.8.8.8) → root servers → TLD (.com) → authoritative server. Cached by TTL.",phase0 network
"What happens during HTTPS handshake (TLS 1.3)?","1) ClientHello (cipher suites, key share). 2) ServerHello + certificate + key share. 3) Client verifies cert via CA. 4) Key exchange (X25519). 5) Encrypted channel. 0-RTT possible. 1-RTT typical.",phase0 network
"Difference between git merge and git rebase?","merge - preserves branch history, makes merge commit. rebase - rewrites history, commits become linear. Golden rule: rebase only for local/feature branches, never for shared/main.",phase0 git
"What does git cherry-pick do?",Takes one specific commit from another branch and applies it to current. Used for backporting fixes from main to release branch.,phase0 git
"Difference between Docker image and container?","Image - immutable blueprint (FS layers + metadata). Container - running instance of image (image + writable layer + process). One image → many containers.",phase1 docker
"What is multi-stage build and why needed?","Multiple FROM in one Dockerfile. First stage - build (with dev dependencies, ~1GB). Second - copies artifact to clean runtime (alpine, ~50MB). Result: small secure image without dev-tools.",phase1 docker
"Difference between CMD and ENTRYPOINT?","CMD - default command, easily overridden (docker run img bash). ENTRYPOINT - executable file, CMD args become its args. Best practice: ENTRYPOINT for binary, CMD for default args.",phase1 docker
"What does if __name__ == '__main__' do in Python?",Checks if file is run directly, not imported. Code inside executes only on direct run (python script.py). Allows using file as module and as script.,phase1 python
"Difference between stage and job in GitLab CI?","Stage - group (pipeline phase: build, test, deploy). Job - specific task within stage. All jobs in one stage run in parallel. Stages run sequentially. Use needs for parallel jobs with dependencies.",phase2 cicd
"What is Terraform state and why needed?","File terraform.tfstate - mapping of real resources ↔ configurations. Terraform compares desired (code) with actual (state) and plans diff. Store in backend (S3/GCS/TFC), not locally. Sensitive: tfstate contains secrets.",phase2 terraform
"What is a Pod made of?","1+ containers with shared network namespace (one IP), shared volumes. Plus init containers, ephemeral containers (for debugging). Pod - minimal deployable unit, usually 1 container.",phase3 k8s
"Difference between Deployment and StatefulSet?","Deployment - for stateless: replicas with same names, any can replace any. StatefulSet - for stateful: stable names (pod-0, pod-1), persistent volume per pod, ordered scaling. StatefulSet for DBs, queues, clusters.",phase3 k8s
"What is a Service in Kubernetes and types?","Service - stable access point to group of pods (via labels + selector). Types: ClusterIP (internal), NodePort (port on node), LoadBalancer (cloud LB), ExternalName (CNAME). Default: ClusterIP.",phase3 k8s
"Difference between ConfigMap and Secret?","ConfigMap - non-secret config data (env, files, configs). Secret - same but base64-encoded (for passwords, tokens, keys). In production: Secret + encryption-at-rest + RBAC. In 2026: External Secrets + Vault.",phase3 k8s
"What are liveness and readiness probes?","Liveness: kubelet restarts pod if probe fails (app hung). Readiness: removes pod from Service endpoints if probe fails (not ready for traffic, but don't kill). Liveness = healing, Readiness = temporary isolation.",phase3 k8s
"Difference between Job, CronJob and Deployment?","Deployment - long-running pod (web server). Job - run-to-completion (migration, backup). CronJob - Job on schedule (cron: '*/5 * * * *'). Job guarantees N successful completions (completions, parallelism).",phase3 k8s
"What are SLO, SLI and error budget?","SLI - metric (latency p99, availability %). SLO - target for period (99.9% over month). Error budget = 1 - SLO (0.1% = 43.2 min/month down). If budget exhausted - fix reliability, not features.",phase4 observability
"What is GitOps and why needed?","GitOps - declarative infra from Git: git push → changes applied automatically. Single source of truth (Git), audit trail, easy rollback (git revert). Tools: ArgoCD, Flux. Alternative to manual kubectl apply.",phase5 gitops
